,SegmentDescription,Answer,Count
848,Loyola Marymount University,Twitter,0
849,Loyola Marymount University,None,1
850,University of Dayton,Facebook,0
851,University of Dayton,Instagram,0
852,University of Dayton,Snapchat,0
853,University of Dayton,Twitter,0
854,University of Dayton,None,1
855,UMass Amherst,Facebook,1
856,UMass Amherst,Instagram,1
857,UMass Amherst,Snapchat,0
858,UMass Amherst,Twitter,0
859,UMass Amherst,None,0
860,Brock University,Facebook,0
861,Brock University,Instagram,1
862,Brock University,Snapchat,0
863,Brock University,Twitter,0
864,Brock University,None,0
865,Kutztown University,Facebook,0
866,Kutztown University,Instagram,0
867,Kutztown University,Snapchat,0
868,Kutztown University,Twitter,1
869,Kutztown University,None,0
870,University of Mississippi,Facebook,0
871,University of Mississippi,Instagram,1
872,University of Mississippi,Snapchat,0
873,University of Mississippi,Twitter,0
874,University of Mississippi,None,0
875,University of Mount Union,Facebook,0
876,University of Mount Union,Instagram,0
877,University of Mount Union,Snapchat,0
878,University of Mount Union,Twitter,0
879,University of Mount Union,None,1
880,Duke University,Facebook,0
881,Duke University,Instagram,0
882,Duke University,Snapchat,0
883,Duke University,Twitter,1
884,Duke University,None,1
885,Shippensburg University,Facebook,0
886,Shippensburg University,Instagram,0
887,Shippensburg University,Snapchat,0
888,Shippensburg University,Twitter,1
889,Shippensburg University,None,0
