,SegmentDescription,Answer,Count
185,United States Naval Academy,Facebook,0
186,United States Naval Academy,Instagram,0
187,United States Naval Academy,Snapchat,0
188,United States Naval Academy,Twitter,0
189,United States Naval Academy,None,1
190,University of Wisconsin-Whitewater,Facebook,0
191,University of Wisconsin-Whitewater,Instagram,0
192,University of Wisconsin-Whitewater,Snapchat,0
193,University of Wisconsin-Whitewater,Twitter,1
194,University of Wisconsin-Whitewater,None,0
195,Lock Haven University,Facebook,1
196,Lock Haven University,Instagram,0
197,Lock Haven University,Snapchat,0
198,Lock Haven University,Twitter,0
199,Lock Haven University,None,0
200,Kalamazoo College,Facebook,0
201,Kalamazoo College,Instagram,1
202,Kalamazoo College,Snapchat,0
203,Kalamazoo College,Twitter,0
204,Kalamazoo College,None,0
205,Stanford University,Facebook,2
206,Stanford University,Instagram,2
207,Stanford University,Snapchat,0
208,Stanford University,Twitter,0
209,Stanford University,None,5
210,Vanderbilt University,Facebook,15
211,Vanderbilt University,Instagram,11
212,Vanderbilt University,Snapchat,1
213,Vanderbilt University,Twitter,0
214,Vanderbilt University,None,13
215,Chapman University,Facebook,2
216,Chapman University,Instagram,6
217,Chapman University,Snapchat,0
218,Chapman University,Twitter,0
219,Chapman University,None,2
220,Missouri State University,Facebook,3
221,Missouri State University,Instagram,10
222,Missouri State University,Snapchat,0
223,Missouri State University,Twitter,2
224,Missouri State University,None,10
225,Emory University,Facebook,15
226,Emory University,Instagram,14
227,Emory University,Snapchat,2
228,Emory University,Twitter,1
229,Emory University,None,15
230,University of Richmond,Facebook,3
231,University of Richmond,Instagram,0
232,University of Richmond,Snapchat,0
233,University of Richmond,Twitter,0
234,University of Richmond,None,2
235,Medford High School,Facebook,0
236,Medford High School,Instagram,0
237,Medford High School,Snapchat,0
238,Medford High School,Twitter,0
239,Medford High School,None,1
240,University of British Columbia,Facebook,1
241,University of British Columbia,Instagram,0
242,University of British Columbia,Snapchat,0
243,University of British Columbia,Twitter,0
244,University of British Columbia,None,2
245,Colby College,Facebook,0
246,Colby College,Instagram,2
247,Colby College,Snapchat,0
248,Colby College,Twitter,0
249,Colby College,None,0
250,Bates College,Facebook,8
251,Bates College,Instagram,18
252,Bates College,Snapchat,0
253,Bates College,Twitter,4
254,Bates College,None,17
255,"Westport, CT",Facebook,1
256,"Westport, CT",Instagram,0
257,"Westport, CT",Snapchat,0
258,"Westport, CT",Twitter,0
259,"Westport, CT",None,0
260,Whitman College,Facebook,5
261,Whitman College,Instagram,5
262,Whitman College,Snapchat,3
263,Whitman College,Twitter,0
264,Whitman College,None,9
265,Thompson Rivers University ,Facebook,0
266,Thompson Rivers University ,Instagram,1
267,Thompson Rivers University ,Snapchat,0
268,Thompson Rivers University ,Twitter,0
269,Thompson Rivers University ,None,1
270,University of Central Florida,Facebook,0
271,University of Central Florida,Instagram,0
272,University of Central Florida,Snapchat,0
273,University of Central Florida,Twitter,0
274,University of Central Florida,None,2
275,University of Montana ,Facebook,0
276,University of Montana ,Instagram,2
277,University of Montana ,Snapchat,0
278,University of Montana ,Twitter,0
279,University of Montana ,None,0
280,University of Nebraska,Facebook,0
281,University of Nebraska,Instagram,0
282,University of Nebraska,Snapchat,0
283,University of Nebraska,Twitter,0
284,University of Nebraska,None,1
285,Whatsgoodly University,Facebook,0
286,Whatsgoodly University,Instagram,1
287,Whatsgoodly University,Snapchat,0
288,Whatsgoodly University,Twitter,0
289,Whatsgoodly University,None,0
290,Tufts University,Facebook,4
291,Tufts University,Instagram,3
292,Tufts University,Snapchat,0
293,Tufts University,Twitter,0
294,Tufts University,None,3
295,Texas Tech University,Facebook,0
296,Texas Tech University,Instagram,1
297,Texas Tech University,Snapchat,0
298,Texas Tech University,Twitter,0
299,Texas Tech University,None,0
300,Kansas State University,Facebook,0
301,Kansas State University,Instagram,0
302,Kansas State University,Snapchat,0
303,Kansas State University,Twitter,0
304,Kansas State University,None,1
305,University of Notre Dame,Facebook,0
306,University of Notre Dame,Instagram,0
307,University of Notre Dame,Snapchat,0
308,University of Notre Dame,Twitter,0
309,University of Notre Dame,None,1
310,University of Georgia,Facebook,0
311,University of Georgia,Instagram,2
312,University of Georgia,Snapchat,0
313,University of Georgia,Twitter,0
314,University of Georgia,None,0
315,Ohio University,Facebook,0
316,Ohio University,Instagram,0
317,Ohio University,Snapchat,0
318,Ohio University,Twitter,0
319,Ohio University,None,1
320,Washington State University,Facebook,0
321,Washington State University,Instagram,2
322,Washington State University,Snapchat,0
323,Washington State University,Twitter,0
324,Washington State University,None,0
325,Binghamtom University,Facebook,0
326,Binghamtom University,Instagram,0
327,Binghamtom University,Snapchat,0
328,Binghamtom University,Twitter,0
329,Binghamtom University,None,1
330,George Washington University,Facebook,0
331,George Washington University,Instagram,1
332,George Washington University,Snapchat,0
333,George Washington University,Twitter,0
334,George Washington University,None,0
335,University of Alabama,Facebook,0
336,University of Alabama,Instagram,1
337,University of Alabama,Snapchat,1
338,University of Alabama,Twitter,0
339,University of Alabama,None,3
340,University of Florida,Facebook,0
341,University of Florida,Instagram,1
342,University of Florida,Snapchat,0
343,University of Florida,Twitter,1
344,University of Florida,None,1
345,The College of New Jersey,Facebook,0
346,The College of New Jersey,Instagram,0
347,The College of New Jersey,Snapchat,0
348,The College of New Jersey,Twitter,0
349,The College of New Jersey,None,1
350,Florida State University,Facebook,0
351,Florida State University,Instagram,1
352,Florida State University,Snapchat,0
353,Florida State University,Twitter,0
354,Florida State University,None,0
355,Santa Clara University,Facebook,1
356,Santa Clara University,Instagram,0
357,Santa Clara University,Snapchat,0
358,Santa Clara University,Twitter,0
359,Santa Clara University,None,2
360,Appalachian State University,Facebook,5
361,Appalachian State University,Instagram,9
