,SegmentDescription,Answer,Count,Percentage
0,Global results,Facebook,548,0.205
1,Global results,Instagram,916,0.342
2,Global results,Snapchat,86,0.032
3,Global results,Twitter,179,0.067
4,Global results,None,947,0.354
