,SegmentDescription,Answer,Count,Percentage
10,Female voters,Facebook,222,0.199
11,Female voters,Instagram,535,0.48
12,Female voters,Snapchat,29,0.026
13,Female voters,Twitter,57,0.051
14,Female voters,None,271,0.243
15,Male voters,Facebook,326,0.209
16,Male voters,Instagram,380,0.243
17,Male voters,Snapchat,56,0.036
18,Male voters,Twitter,122,0.078
19,Male voters,None,678,0.434
